ticker,year,quarter,trading_days,avg_close_price,avg_volume
AAPL,2018,Q1,61,43.05,150905010.0
AAPL,2018,Q2,64,45.35,113422194.0
AAPL,2018,Q3,63,52.08,112570305.0
AAPL,2018,Q4,63,48.48,168253803.0
AAPL,2019,Q1,61,42.42,127974387.0
AAPL,2019,Q2,63,48.72,111796381.0
AAPL,2019,Q3,64,52.28,106093775.0
AAPL,2019,Q4,64,64.33,103364556.0
AAPL,2020,Q1,62,73.54,197318097.0
AAPL,2020,Q2,63,77.49,147850965.0
AAPL,2020,Q3,64,109.12,171493584.0
AAPL,2020,Q4,64,120.28,114686459.0
AAPL,2021,Q1,61,128.36,110238292.0
AAPL,2021,Q2,63,129.57,82672737.0
AAPL,2021,Q3,64,147.22,80912703.0
AAPL,2021,Q4,64,158.04,89076170.0
AAPL,2022,Q1,62,168.16,95431652.0
AAPL,2022,Q2,62,151.44,94160253.0
AAPL,2022,Q3,64,156.95,78782622.0
AAPL,2022,Q4,63,142.91,83630454.0
AAPL,2023,Q1,62,147.55,68889000.0
AAPL,2023,Q2,62,174.25,57137490.0
AAPL,2023,Q3,63,183.38,58041187.0
AAPL,2023,Q4,63,184.64,52946821.0
AAPL,2024,Q1,61,181.83,62003215.0
AAPL,2024,Q2,63,186.49,68263611.0
AAPL,2024,Q3,64,223.32,54810383.0
AAPL,2024,Q4,64,235.68,43753756.0
AAPL,2025,Q1,60,231.67,52961470.0
AAPL,2025,Q2,62,201.95,62958969.0
AAPL,2025,Q3,64,225.91,55680486.0
AAPL,2025,Q4,64,268.45,45300769.0
AAPL,2026,Q1,61,260.25,48015967.0
AAPL,2026,Q2,18,263.69,41407665.0
MSFT,2018,Q1,61,91.45,33617648.0
MSFT,2018,Q2,64,96.92,27814591.0
MSFT,2018,Q3,63,108.41,23908506.0
MSFT,2018,Q4,63,107.12,41144305.0
MSFT,2019,Q1,61,109.1,29055811.0
MSFT,2019,Q2,63,126.96,23630171.0
MSFT,2019,Q3,64,137.51,24079792.0
MSFT,2019,Q4,64,146.91,21753102.0
MSFT,2020,Q1,62,164.45,49334642.0
MSFT,2020,Q2,63,181.52,38706594.0
MSFT,2020,Q3,64,210.03,34856109.0
MSFT,2020,Q4,64,215.02,28122230.0
MSFT,2021,Q1,61,232.02,30557121.0
MSFT,2021,Q2,63,254.18,24957440.0
MSFT,2021,Q3,64,290.95,22920317.0
MSFT,2021,Q4,64,324.21,25813684.0
MSFT,2022,Q1,62,300.85,38369616.0
MSFT,2022,Q2,62,271.4,32122866.0
MSFT,2022,Q3,64,264.05,24806813.0
MSFT,2022,Q4,63,239.99,29807616.0
MSFT,2023,Q1,62,255.08,32730711.0
MSFT,2023,Q2,62,313.41,27420631.0
MSFT,2023,Q3,63,330.44,24808973.0
MSFT,2023,Q4,63,355.93,25824221.0
MSFT,2024,Q1,61,404.82,22934880.0
MSFT,2024,Q2,63,422.32,18993348.0
MSFT,2024,Q3,64,427.47,19832286.0
MSFT,2024,Q4,64,425.95,20671158.0
MSFT,2025,Q1,60,407.71,23112278.0
MSFT,2025,Q2,62,434.27,23247445.0
MSFT,2025,Q3,64,510.13,19934311.0
MSFT,2025,Q4,64,501.12,22570097.0
MSFT,2026,Q1,61,418.44,36550956.0
MSFT,2026,Q2,18,398.8,32041220.0
TSLA,2018,Q1,61,22.0,96081148.0
TSLA,2018,Q2,64,20.32,131089219.0
TSLA,2018,Q3,63,20.83,153753286.0
TSLA,2018,Q4,63,21.51,134721667.0
TSLA,2019,Q1,61,20.07,127375992.0
TSLA,2019,Q2,63,15.56,173408738.0
TSLA,2019,Q3,64,15.66,109899047.0
TSLA,2019,Q4,64,21.69,138945328.0
TSLA,2020,Q1,62,41.46,314695234.0
TSLA,2020,Q2,63,54.1,216655667.0
TSLA,2020,Q3,64,118.07,243132689.0
TSLA,2020,Q4,64,170.65,131841150.0
TSLA,2021,Q1,61,251.06,106770743.0
TSLA,2021,Q2,63,217.09,86839876.0
TSLA,2021,Q3,64,235.37,57184969.0
TSLA,2021,Q4,64,335.39,79129781.0
TSLA,2022,Q1,62,311.47,81232355.0
TSLA,2022,Q2,62,272.96,88393698.0
TSLA,2022,Q3,64,279.27,74053409.0
TSLA,2022,Q4,63,189.34,104202954.0
TSLA,2023,Q1,62,174.45,174741361.0
TSLA,2023,Q2,62,199.96,139201156.0
TSLA,2023,Q3,63,256.88,116442679.0
TSLA,2023,Q4,63,237.66,119644208.0
TSLA,2024,Q1,61,195.37,102682562.0
TSLA,2024,Q2,63,174.77,88169030.0
TSLA,2024,Q3,64,228.05,96494306.0
TSLA,2024,Q4,64,321.74,92275402.0
TSLA,2025,Q1,60,333.26,96855467.0
TSLA,2025,Q2,62,301.28,122292458.0
TSLA,2025,Q3,64,346.84,89596973.0
TSLA,2025,Q4,64,443.29,82757395.0
TSLA,2026,Q1,61,411.95,61658608.0
TSLA,2026,Q2,18,370.69,70472326.0
